time_s,speed_mps,steering_rad
0.0,0.000000,0.000000
0.1,0.000000,0.000000
0.2,0.000000,0.000000
0.3,0.000000,0.000000
0.4,0.000000,0.000000
0.5,0.000000,0.000000
0.6,0.000000,0.000000
0.7,0.000000,0.000000
0.8,0.000000,0.000000
0.9,0.000000,0.000000
1.0,0.000000,0.000000
1.1,0.000000,0.000000
1.2,0.000000,0.000000
1.3,0.000000,0.000000
1.4,0.000000,0.000000
1.5,0.000000,0.000000
1.6,0.000000,0.000000
1.7,0.000000,0.000000
1.8,0.000000,0.000000
1.9,0.000000,0.000000
2.0,0.000000,0.000000
2.1,0.069444,0.000000
2.2,0.138889,0.000000
2.3,0.208333,0.000000
2.4,0.277778,0.000000
2.5,0.347222,0.000000
2.6,0.416667,0.000000
2.7,0.486111,0.000000
2.8,0.555556,0.000000
2.9,0.625000,0.000000
3.0,0.694444,0.000000
3.1,0.763889,0.000000
3.2,0.833333,0.000000
3.3,0.902778,0.000000
3.4,0.972222,0.000000
3.5,1.041667,0.000000
3.6,1.111111,0.000000
3.7,1.180556,0.000000
3.8,1.250000,0.000000
3.9,1.319444,0.000000
4.0,1.388889,0.000000
4.1,1.458333,0.000000
4.2,1.527778,0.000000
4.3,1.597222,0.000000
4.4,1.666667,0.000000
4.5,1.736111,0.000000
4.6,1.805556,0.000000
4.7,1.875000,0.000000
4.8,1.944444,0.000000
4.9,2.013889,0.000000
5.0,2.083333,0.000000
5.1,2.152778,0.000000
5.2,2.222222,0.000000
5.3,2.291667,0.000000
5.4,2.361111,0.000000
5.5,2.430556,0.000000
5.6,2.500000,0.000000
5.7,2.569444,0.000000
5.8,2.638889,0.000000
5.9,2.708333,0.000000
6.0,2.777778,0.000000
6.1,2.777778,0.000000
6.2,2.777778,0.000000
6.3,2.777778,0.000000
6.4,2.777778,0.000000
6.5,2.777778,0.000000
6.6,2.777778,0.000000
6.7,2.777778,0.000000
6.8,2.777778,0.000000
6.9,2.777778,0.000000
7.0,2.777778,0.000000
7.1,2.777778,0.000000
7.2,2.777778,0.000000
7.3,2.777778,0.000000
7.4,2.777778,0.000000
7.5,2.777778,0.000000
7.6,2.777778,0.000000
7.7,2.777778,0.000000
7.8,2.777778,0.000000
7.9,2.777778,0.000000
8.0,2.777778,0.000000
8.1,2.777778,0.007846
8.2,2.777778,0.015643
8.3,2.777778,0.023345
8.4,2.777778,0.030902
8.5,2.777778,0.038268
8.6,2.777778,0.045399
8.7,2.777778,0.052250
8.8,2.777778,0.058779
8.9,2.777778,0.064945
9.0,2.777778,0.070711
9.1,2.777778,0.076041
9.2,2.777778,0.080902
9.3,2.777778,0.085264
9.4,2.777778,0.089101
9.5,2.777778,0.092388
9.6,2.777778,0.095106
9.7,2.777778,0.097237
9.8,2.777778,0.098769
9.9,2.777778,0.099692
10.0,2.777778,0.100000
10.1,2.777778,0.099692
10.2,2.777778,0.098769
10.3,2.777778,0.097237
10.4,2.777778,0.095106
10.5,2.777778,0.092388
10.6,2.777778,0.089101
10.7,2.777778,0.085264
10.8,2.777778,0.080902
10.9,2.777778,0.076041
11.0,2.777778,0.070711
11.1,2.777778,0.064945
11.2,2.777778,0.058779
11.3,2.777778,0.052250
11.4,2.777778,0.045399
11.5,2.777778,0.038268
11.6,2.777778,0.030902
11.7,2.777778,0.023345
11.8,2.777778,0.015643
11.9,2.777778,0.007846
12.0,2.777778,0.000000
12.1,2.777778,-0.007846
12.2,2.777778,-0.015643
