profile_name,split,duration_s,sample_count,bag_path,bag_size_bytes,commissioning_mean_delay_ms,recorded_lower_batch_mean_delay_ms,recorded_lower_batch_p95_delay_ms,result_directory
train_speed_multistep,train,39.0,391,/workspace/data/identification/train/train_speed_multistep_2026-07-29-08-34-57.bag,5109579,4.950000100000001,4.988491048530341,5.333333333510382,/workspace/results/identification/train/train_speed_multistep
train_speed_ramps,train,53.0,531,/workspace/data/identification/train/train_speed_ramps_2026-07-29-08-35-49.bag,6825849,4.866666500000001,4.990583804022545,5.333333333510382,/workspace/results/identification/train/train_speed_ramps
train_steering_multistep,train,70.5,706,/workspace/data/identification/train/train_steering_multistep_2026-07-29-08-36-55.bag,8949976,4.883333400000001,4.918555240724719,5.333333333510382,/workspace/results/identification/train/train_steering_multistep
train_steering_sine,train,78.0,781,/workspace/data/identification/train/train_steering_sine_2026-07-29-08-38-19.bag,9894871,4.900000200000001,4.6438326930253035,5.000000000109139,/workspace/results/identification/train/train_steering_sine
train_steering_chirp,train,68.0,681,/workspace/data/identification/train/train_steering_chirp_2026-07-29-08-39-52.bag,8652938,4.8666667000000015,5.71683798327109,6.166666666103993,/workspace/results/identification/train/train_steering_chirp
train_combined_random,train,84.0,841,/workspace/data/identification/train/train_combined_random_2026-07-29-08-41-14.bag,10608800,4.899999900000001,4.940348791045636,5.333333333510382,/workspace/results/identification/train/train_combined_random
validation_speed_unseen,validation,37.1,372,/workspace/data/identification/validation/validation_speed_unseen_2026-07-29-08-42-55.bag,4868064,4.983333399999999,4.777329749067478,5.166666667719255,/workspace/results/identification/validation/validation_speed_unseen
validation_steering_unseen,validation,66.0,661,/workspace/data/identification/validation/validation_steering_unseen_2026-07-29-08-43-45.bag,8414087,4.866666700000001,4.9556227936323,5.333333333510382,/workspace/results/identification/validation/validation_steering_unseen
validation_stop_go_turn,validation,56.0,561,/workspace/data/identification/validation/validation_stop_go_turn_2026-07-29-08-45-05.bag,7184595,4.9499999,4.780748663033138,5.166666667719255,/workspace/results/identification/validation/validation_stop_go_turn
test_long_mixed,test,118.0,1181,/workspace/data/identification/test/test_long_mixed_2026-07-29-08-46-15.bag,14759080,4.9333333,4.7538808918761175,5.333333332600887,/workspace/results/identification/test/test_long_mixed
