candidate_name,architecture,objective,history_depth,input_size,seed_count,parameter_count,validation_composite_mean,validation_composite_std,train_state_speed_rmse_mean,train_state_speed_rmse_std,train_state_yaw_rate_rmse_mean,train_state_yaw_rate_rmse_std,train_pose_xy_rmse_mean,train_pose_xy_rmse_std,train_pose_yaw_rmse_mean,train_pose_yaw_rmse_std,train_rollout20_xy_rmse_mean,train_rollout20_xy_rmse_std,train_rollout20_yaw_rmse_mean,train_rollout20_yaw_rmse_std,validation_state_speed_rmse_mean,validation_state_speed_rmse_std,validation_state_yaw_rate_rmse_mean,validation_state_yaw_rate_rmse_std,validation_pose_xy_rmse_mean,validation_pose_xy_rmse_std,validation_pose_yaw_rmse_mean,validation_pose_yaw_rmse_std,validation_rollout20_xy_rmse_mean,validation_rollout20_xy_rmse_std,validation_rollout20_yaw_rmse_mean,validation_rollout20_yaw_rmse_std
mlp_h2_state_one_step,mlp,state_one_step,2,12,3,3010,0.020669936541705153,0.004227792845605804,0.0028714679647237062,0.0001589178847347885,0.001915407405855755,9.438441888723045e-05,0.00017538617733710757,5.029632636572414e-06,0.00015696276386734098,4.591423387041563e-06,0.04490445305903753,0.002921035633868017,0.006466243416070938,0.0015854023597764993,0.003132241622855266,6.919523663944025e-05,0.0021545022803669176,0.00048040768875683967,0.00020857956648493806,5.557019919362508e-06,0.00013880624222413948,2.062099284872834e-05,0.047242484986782074,0.0019405919853209468,0.018512295248607796,0.00435070813441713
mlp_h1_pose_rollout20,mlp,pose_rollout20,1,8,3,2754,0.02174366471685955,0.0013667378296148434,0.004718495532870293,0.00023892991505636548,0.0035652925726026297,0.0001748144917254607,0.0002547654245669643,4.453928780752274e-06,0.00020999264961574227,3.793566837802851e-06,0.051481347531080246,0.0009777644977850995,0.004628969045976798,0.0003862949590952689,0.0045822787409027415,0.0006118534817442926,0.0029424045545359454,0.00020031754423615065,0.00025992542699289817,1.3851556117528289e-05,0.00016811251892553022,1.0218524399239426e-05,0.05711221074064573,0.008087997116979896,0.0175431730846564,0.0014483179836106619
mlp_h2_pose_rollout20,mlp,pose_rollout20,2,12,3,3010,0.02226856278747921,0.0012156238793017702,0.004482869369288285,0.00030942194177810986,0.003741034927467505,0.0001031667127507177,0.0002520343308181812,5.181831668597863e-06,0.0002215949110298728,5.620638155015502e-06,0.052564540257056556,0.00441577079246158,0.004112280361975233,0.00015827426968453436,0.0038832996506243944,8.587600192912449e-05,0.003343664575368166,0.0001807953523821776,0.00025015546028347063,1.0185464212215173e-05,0.00018038944593475512,8.547387748634141e-06,0.04972100382049879,0.002493849176357285,0.01773589352766673,0.0013835516615303494
mlp_h1_state_one_step,mlp,state_one_step,1,8,3,2754,0.02651229175884118,0.0018686563851831625,0.003095221007242799,7.154620457835648e-05,0.002205431383724014,0.00019509649216336013,0.00019272021503032496,5.2777241291842424e-06,0.00017095679747095952,5.795241458873525e-06,0.04657112434506416,0.0019456309599388722,0.0070730467947820825,0.000802996394475566,0.0033473907969892025,0.00017096292964084364,0.0026711031484107175,0.00017172296160173465,0.00022916611245212456,9.53858814962779e-06,0.00016146689692201713,7.74139504506984e-06,0.05049857248862585,0.002632887179435166,0.024645605434974033,0.0019769882560021455
mlp_h0_pose_rollout20,mlp,pose_rollout20,0,4,3,2498,0.027872916884799925,0.007085133073563221,0.004464011328915755,0.00017096814650209807,0.0047600832767784595,0.0001652396735740795,0.0002469930089622115,1.5540690182068856e-05,0.00026122525256748,1.1891430269222009e-05,0.05000029876828194,0.00114858644781658,0.003672799405952295,0.000581389053579894,0.004586268526812394,0.00043753441472577656,0.005032018370305498,0.0015331000186668586,0.00025590475706849247,1.462186748404011e-05,0.00025938473603067297,7.854703421637136e-05,0.06157239278157552,0.005874336258356413,0.020383531227707863,0.0055248301198011175
mlp_h0_state_one_step,mlp,state_one_step,0,4,3,2498,0.029605602318588692,0.006350442409513213,0.0032239469389120736,5.629451398356837e-05,0.0033803777769207954,0.00015848550103657793,0.00020180766296107322,3.98565245683029e-06,0.00022841915294217566,5.049258009780824e-06,0.04400066907207171,0.000875405538234615,0.004287331830710173,5.489243736499725e-05,0.0033590647702415786,8.445337867350069e-05,0.004334425010407965,0.0005642506639939327,0.00022800335621771714,6.97470716663258e-06,0.00024052360580147555,2.4793686745493048e-05,0.0483651248117288,0.0018438385393437116,0.024711713194847107,0.006752876442595595
mlp_h2_pose_one_step,mlp,pose_one_step,2,12,3,3010,0.04482694281255962,0.0009192412951185468,0.029891982674598694,1.8845409909147765e-06,0.0030301781371235847,2.6173435493585765e-05,0.001502869379085799,2.7502994879529422e-08,0.0001457814845101287,3.024653394336954e-06,0.5651987592379252,0.00013750263471613768,0.013491176379223665,5.292932207287759e-05,0.03133836636940638,1.8616721804225769e-06,0.0025670690617213645,0.00010237533017490191,0.0015748813360308607,1.948565145118646e-08,0.00013573402247857302,6.038897608851604e-06,0.6004200379053751,0.00010861610933499773,0.02415854608019193,0.000926278524277868
mlp_h1_pose_one_step,mlp,pose_one_step,1,8,3,2754,0.04771999372691756,0.002031468397754812,0.029869744554162025,9.149209829224338e-07,0.0033650691621005535,8.004778555973243e-05,0.0015015938164045413,2.951081846919334e-08,0.00016677911723187813,2.5540179424780346e-06,0.5650098323822021,0.00014853167332911136,0.013661093388994535,8.346571371547308e-05,0.03130939851204554,9.026808789153578e-07,0.0026584561758985123,9.408072236542848e-05,0.0015732871058086555,4.74961514433231e-08,0.0001444476074539125,5.543794523591765e-06,0.5999207496643066,0.00014669015106180008,0.027606653049588203,0.002374621428601944
mlp_h0_pose_one_step,mlp,pose_one_step,0,4,3,2498,0.04914303651639835,0.0051577660056272845,0.029848087579011917,1.5007472718891247e-06,0.004160139864931504,6.589089015573812e-05,0.0015005578752607107,4.123480437710959e-08,0.00023978791432455182,2.856706845826377e-06,0.5640173355738322,2.1987696647322397e-05,0.018742005651195843,0.0002676944574714364,0.03128103787700335,1.4809308392070365e-06,0.004198014658565323,0.0005938317539385027,0.0015712945799653728,7.76840837238664e-08,0.00022657428538271537,2.669281250437962e-05,0.5990833838780721,5.959934634924785e-06,0.0256398543715477,0.00525327186156665
linear_h0_state_one_step,linear,state_one_step,0,4,1,10,0.12557154798486012,0.0,0.003682265290990472,0.0,0.01920362375676632,0.0,0.00024832587223500013,0.0,0.0010323921451345086,0.0,0.27321285009384155,0.0,0.08537829667329788,0.0,0.0028864797204732895,0.0,0.01747056096792221,0.0,0.00021364123676903546,0.0,0.0009024238679558039,0.0,0.21848678588867188,0.0,0.10985520482063293,0.0
